ID_PIECE;ORDRE_PRODUCTION;SCENARIO;DATE_FABRICATION;ID_UPPER;ID_LOWER;LOT_PREIMPREGNE;LOT_ADHESIF;MOULE_UPPER;MOULE_LOWER;OPERATEUR_DRAPAGE;OPERATEUR_ASSEMBLAGE;CYCLE_CUISSON;PRESSION_VIDE_ABS_MBAR;TEMP_MAX_C;TEMPS_MAINTIEN_MIN;TEMP_DEMOULAGE_C;RATIO_ADHESIF;TEMPS_OUVERT_MIN;EPAISSEUR_MOY_MM;PLANEITE_ENTREE_MM;PLANEITE_SORTIE_MM;DIAMETRE_TROU_MOY_MM;ECART_PROFIL_MAX_MM;ECART_POSITION_TROUS_MAX_MM;PRESSION_TEST_KPA;DUREE_TEST_S;TAUX_FUITE;JOINT_CONTINU_CONFORME;DEFAUT_PRINCIPAL;NB_DEFAUTS;STATUT_FINAL;COMMENTAIRE
DAI-0001;1;INITIAL;05/01/2026;UP-0001;LO-0001;PRE-01;ADH-01;MU-01;ML-01;OP-D01;OP-A01;CYC-001;100,8;122,4;87,6;64,4;1,013;42,4;2,11;0,38;0,38;6,57;0,64;0,31;20;60;0,38;OUI;AUCUN;0;CONFORME;
DAI-0002;2;INITIAL;06/01/2026;UP-0002;LO-0002;PRE-01;ADH-01;MU-02;ML-02;OP-D02;OP-A02;CYC-001;113,7;121,8;88,4;66,4;0,993;28,2;1,81;0,54;0,46;6,51;0,57;0,34;20;60;0,26;OUI;VIDE_POROSITE;1;NON CONFORME;Critères hors limite : PLANEITE
DAI-0003;3;INITIAL;07/01/2026;UP-0003;LO-0003;PRE-01;ADH-01;MU-01;ML-01;OP-D03;OP-A01;CYC-001;111,6;120,3;95,3;58,4;0,962;35,1;1,98;0,39;0,26;6,51;0,65;0,23;20;60;0,57;OUI;ETANCHEITE;1;NON CONFORME;Critères hors limite : ETANCHEITE
DAI-0004;4;INITIAL;08/01/2026;UP-0004;LO-0004;PRE-01;ADH-01;MU-02;ML-02;OP-D01;OP-A02;CYC-001;99;119,3;93,2;61;1,002;32,3;1,87;0,29;0,37;6,5;0,89;0,33;20;60;0,24;OUI;AUCUN;0;CONFORME;
DAI-0005;5;INITIAL;09/01/2026;UP-0005;LO-0005;PRE-01;ADH-01;MU-01;ML-01;OP-D02;OP-A01;CYC-001;111,9;123,9;96,5;64,5;0,994;35,1;1,93;0,48;0,38;6,61;0,81;0,09;20;60;0,53;NON;COLLAGE;2;NON CONFORME;Critères hors limite : ETANCHEITE, COLLAGE
DAI-0006;6;INITIAL;10/01/2026;UP-0006;LO-0006;PRE-01;ADH-01;MU-02;ML-02;OP-D03;OP-A02;CYC-002;130;122,2;96,7;58,1;0,998;21,9;2,1;0,53;0,39;6,46;0,77;0,17;20;60;0,27;OUI;VIDE_POROSITE;1;NON CONFORME;Critères hors limite : PLANEITE
DAI-0007;7;INITIAL;11/01/2026;UP-0007;LO-0007;PRE-01;ADH-01;MU-01;ML-01;OP-D01;OP-A01;CYC-002;114,8;121,8;94,2;58,8;1,044;36,2;2,09;0,43;0,27;6,51;0,62;0,25;20;60;0,45;OUI;AUCUN;0;CONFORME;
DAI-0008;8;INITIAL;12/01/2026;UP-0008;LO-0008;PRE-01;ADH-01;MU-02;ML-02;OP-D02;OP-A02;CYC-002;88,8;121,6;87,2;55,7;0,981;35,1;1,97;0,34;0,27;6,52;0,65;0,38;20;60;0,44;OUI;AUCUN;0;CONFORME;
DAI-0009;9;INITIAL;13/01/2026;UP-0009;LO-0009;PRE-01;ADH-01;MU-01;ML-01;OP-D03;OP-A01;CYC-002;106,8;121,7;86,9;64,1;1,03;23,5;1,91;0,53;0,38;6,47;0,84;0,21;20;60;0,43;OUI;PLANEITE;1;NON CONFORME;Critères hors limite : PLANEITE
DAI-0010;10;INITIAL;14/01/2026;UP-0010;LO-0010;PRE-01;ADH-01;MU-02;ML-02;OP-D01;OP-A02;CYC-002;130;118;94,7;54,5;0,999;29,3;1,99;0,48;0,21;6,45;0,91;0,26;20;60;0,18;OUI;AUCUN;0;CONFORME;
DAI-0011;11;INITIAL;15/01/2026;UP-0011;LO-0011;PRE-01;ADH-01;MU-01;ML-01;OP-D02;OP-A01;CYC-003;105,2;121,2;91,2;60,8;1,027;40,2;2,01;0,35;0,33;6,44;0,62;0,14;20;60;0,53;OUI;ETANCHEITE;1;NON CONFORME;Critères hors limite : ETANCHEITE
DAI-0012;12;INITIAL;16/01/2026;UP-0012;LO-0012;PRE-01;ADH-01;MU-02;ML-02;OP-D03;OP-A02;CYC-003;97,7;122,9;93,3;63,7;0,967;35,6;2,1;0,33;0,37;6,56;0,46;0,29;20;60;0,69;NON;COLLAGE;2;NON CONFORME;Critères hors limite : ETANCHEITE, COLLAGE
DAI-0013;13;INITIAL;17/01/2026;UP-0013;LO-0013;PRE-01;ADH-01;MU-01;ML-01;OP-D01;OP-A01;CYC-003;104;120,8;86,3;52,4;1,013;36,7;1,88;0,33;0,24;6,56;0,75;0,27;20;60;0,21;OUI;AUCUN;0;CONFORME;
DAI-0014;14;INITIAL;18/01/2026;UP-0014;LO-0014;PRE-01;ADH-01;MU-02;ML-02;OP-D02;OP-A02;CYC-003;102,3;122,6;93,4;65,4;0,984;37,7;1,89;0,45;0,33;6,53;0,73;0,39;20;60;0,61;NON;COLLAGE;2;NON CONFORME;Critères hors limite : ETANCHEITE, COLLAGE
DAI-0015;15;INITIAL;19/01/2026;UP-0015;LO-0015;PRE-01;ADH-01;MU-01;ML-01;OP-D03;OP-A01;CYC-003;117;122,3;96,9;61,2;0,953;25,1;1,89;0,33;0,41;6,49;0,67;0,31;20;60;0,49;OUI;VIDE_POROSITE;1;NON CONFORME;Critères hors limite : PLANEITE
DAI-0016;16;INITIAL;20/01/2026;UP-0016;LO-0016;PRE-01;ADH-01;MU-02;ML-02;OP-D01;OP-A02;CYC-004;89,3;120,2;90,8;63,5;0,97;24,1;2,17;0,37;0,37;6,49;0,43;0,4;20;60;0,49;OUI;AUCUN;0;CONFORME;
DAI-0017;17;INITIAL;21/01/2026;UP-0017;LO-0017;PRE-01;ADH-01;MU-01;ML-01;OP-D02;OP-A01;CYC-004;100,6;119,5;86,6;70;0,986;35,9;2,05;0,55;0,23;6,53;0,74;0,19;20;60;0,61;OUI;ETANCHEITE;2;NON CONFORME;Critères hors limite : PLANEITE, ETANCHEITE
DAI-0018;18;INITIAL;22/01/2026;UP-0018;LO-0018;PRE-01;ADH-01;MU-02;ML-02;OP-D03;OP-A02;CYC-004;109,2;123,3;90,7;62,4;1,024;32,7;1,88;0,52;0,28;6,46;0,71;0,05;20;60;0,28;OUI;PLANEITE;1;NON CONFORME;Critères hors limite : PLANEITE
DAI-0019;19;INITIAL;23/01/2026;UP-0019;LO-0019;PRE-01;ADH-01;MU-01;ML-01;OP-D01;OP-A01;CYC-004;115,3;121,4;87,6;65,9;1,004;28,6;1,92;0,48;0,38;6,51;0,8;0,28;20;60;0,16;OUI;AUCUN;0;CONFORME;
DAI-0020;20;INITIAL;24/01/2026;UP-0020;LO-0020;PRE-01;ADH-01;MU-02;ML-02;OP-D02;OP-A02;CYC-004;105,1;120,5;98,7;60,6;0,994;31,5;1,99;0,26;0,31;6,62;0,44;0,21;20;60;0,39;OUI;AUCUN;0;CONFORME;
DAI-0021;21;INITIAL;25/01/2026;UP-0021;LO-0021;PRE-02;ADH-01;MU-01;ML-01;OP-D03;OP-A01;CYC-005;89,5;122,5;92,6;56,7;0,979;32,4;2,1;0,36;0,25;6,48;0,44;0,19;20;60;0,45;OUI;AUCUN;0;CONFORME;
DAI-0022;22;INITIAL;26/01/2026;UP-0022;LO-0022;PRE-02;ADH-01;MU-02;ML-02;OP-D01;OP-A02;CYC-005;96,3;122,6;90,5;62,9;0,995;33,4;2,1;0,46;0,26;6,55;1;0,22;20;60;0,35;OUI;AUCUN;0;CONFORME;
DAI-0023;23;INITIAL;27/01/2026;UP-0023;LO-0023;PRE-02;ADH-01;MU-01;ML-01;OP-D02;OP-A01;CYC-005;96,8;123,8;85;50;1,007;32,5;1,95;0,27;0,26;6,49;0,93;0,41;20;60;0,35;OUI;AUCUN;0;CONFORME;
DAI-0024;24;INITIAL;28/01/2026;UP-0024;LO-0024;PRE-02;ADH-01;MU-02;ML-02;OP-D03;OP-A02;CYC-005;130;120,3;95,9;60,2;0,95;28,2;2,08;0,32;0,36;6,47;0,71;0,29;20;60;0,78;NON;COLLAGE;2;NON CONFORME;Critères hors limite : ETANCHEITE, COLLAGE
DAI-0025;25;INITIAL;29/01/2026;UP-0025;LO-0025;PRE-02;ADH-01;MU-01;ML-01;OP-D01;OP-A01;CYC-005;91,9;122,6;94,2;59,4;0,978;35,4;2,04;0,4;0,34;6,53;0,75;0,32;20;60;0,36;OUI;AUCUN;0;CONFORME;
DAI-0026;26;INITIAL;30/01/2026;UP-0026;LO-0026;PRE-02;ADH-02;MU-02;ML-02;OP-D02;OP-A02;CYC-006;105,6;122,8;90,3;58,4;1,008;30,9;2,02;0,34;0,21;6,46;0,75;0,19;20;60;0,12;OUI;AUCUN;0;CONFORME;
DAI-0027;27;INITIAL;31/01/2026;UP-0027;LO-0027;PRE-02;ADH-02;MU-01;ML-01;OP-D03;OP-A01;CYC-006;100;120,1;91,1;59,8;1,003;29,2;1,99;0,32;0,29;6,61;0,76;0,09;20;60;0,22;OUI;AUCUN;0;CONFORME;
DAI-0028;28;INITIAL;01/02/2026;UP-0028;LO-0028;PRE-02;ADH-02;MU-02;ML-02;OP-D01;OP-A02;CYC-006;108,6;121,9;89,2;64,8;1,027;27,2;1,95;0,51;0,17;6,51;0,48;0,19;20;60;0,22;OUI;PLANEITE;1;NON CONFORME;Critères hors limite : PLANEITE
DAI-0029;29;INITIAL;02/02/2026;UP-0029;LO-0029;PRE-02;ADH-02;MU-01;ML-01;OP-D02;OP-A01;CYC-006;106,5;119,7;91,6;52,3;0,997;36,7;2,1;0,38;0,18;6,45;1,01;0,19;20;60;0,38;OUI;PROFIL;1;NON CONFORME;Critères hors limite : PROFIL
DAI-0030;30;INITIAL;03/02/2026;UP-0030;LO-0030;PRE-02;ADH-02;MU-02;ML-02;OP-D03;OP-A02;CYC-006;101,7;118,1;88,8;55,5;1,018;40,1;1,93;0,36;0,2;6,44;0,86;0,41;20;60;0,65;NON;COLLAGE;2;NON CONFORME;Critères hors limite : ETANCHEITE, COLLAGE
DAI-0031;31;INITIAL;04/02/2026;UP-0031;LO-0031;PRE-02;ADH-02;MU-01;ML-01;OP-D01;OP-A01;CYC-007;94,7;121,3;92,7;62,8;1,05;34,6;1,99;0,36;0,25;6,46;0,55;0,29;20;60;0,75;NON;COLLAGE;2;NON CONFORME;Critères hors limite : ETANCHEITE, COLLAGE
DAI-0032;32;INITIAL;05/02/2026;UP-0032;LO-0032;PRE-02;ADH-02;MU-02;ML-02;OP-D02;OP-A02;CYC-007;94;118,5;94,8;59,9;0,959;28,2;1,82;0,52;0,27;6,5;0,84;0,3;20;60;0,47;OUI;PLANEITE;1;NON CONFORME;Critères hors limite : PLANEITE
DAI-0033;33;INITIAL;06/02/2026;UP-0033;LO-0033;PRE-02;ADH-02;MU-01;ML-01;OP-D03;OP-A01;CYC-007;121,9;122,7;91,4;63,5;0,984;24,8;1,94;0,41;0,34;6,53;0,89;0,26;20;60;0,12;OUI;AUCUN;0;CONFORME;
DAI-0034;34;INITIAL;07/02/2026;UP-0034;LO-0034;PRE-02;ADH-02;MU-02;ML-02;OP-D01;OP-A02;CYC-007;120,4;121,3;95,2;58,2;0,975;38,1;2,08;0,38;0,42;6,51;0,86;0,19;20;60;0,42;OUI;VIDE_POROSITE;1;NON CONFORME;Critères hors limite : PLANEITE
DAI-0035;35;INITIAL;08/02/2026;UP-0035;LO-0035;PRE-02;ADH-02;MU-01;ML-01;OP-D02;OP-A01;CYC-007;95,4;118;95,8;58,2;0,95;34,4;1,94;0,29;0,29;6,45;0,87;0,3;20;60;0,67;OUI;ETANCHEITE;1;NON CONFORME;Critères hors limite : ETANCHEITE
DAI-0036;36;INITIAL;09/02/2026;UP-0036;LO-0036;PRE-02;ADH-02;MU-02;ML-02;OP-D03;OP-A02;CYC-008;78,4;120,9;90;60,7;0,983;34,9;1,88;0,25;0,19;6,5;0,58;0,3;20;60;0,17;OUI;AUCUN;0;CONFORME;
DAI-0037;37;INITIAL;10/02/2026;UP-0037;LO-0037;PRE-02;ADH-02;MU-01;ML-01;OP-D01;OP-A01;CYC-008;113,6;121,1;96,2;58,4;1,015;31,9;1,98;0,53;0,23;6,52;0,71;0,36;20;60;0,31;OUI;VIDE_POROSITE;1;NON CONFORME;Critères hors limite : PLANEITE
DAI-0038;38;INITIAL;11/02/2026;UP-0038;LO-0038;PRE-02;ADH-02;MU-02;ML-02;OP-D02;OP-A02;CYC-008;106,5;121;94,2;58;1,016;31,4;1,99;0,1;0,33;6,52;0,65;0,23;20;60;0,25;OUI;AUCUN;0;CONFORME;
DAI-0039;39;INITIAL;12/02/2026;UP-0039;LO-0039;PRE-02;ADH-02;MU-01;ML-01;OP-D03;OP-A01;CYC-008;107,4;120,3;98;55,1;1,005;31;1,81;0,27;0,29;6,53;0,97;0,25;20;60;0,4;OUI;AUCUN;0;CONFORME;
DAI-0040;40;INITIAL;13/02/2026;UP-0040;LO-0040;PRE-02;ADH-02;MU-02;ML-02;OP-D01;OP-A02;CYC-008;91;119,7;96,2;59,4;1,05;35,4;1,93;0,46;0,26;6,55;0,61;0,23;20;60;0,37;OUI;AUCUN;0;CONFORME;
DAI-0041;41;INITIAL;14/02/2026;UP-0041;LO-0041;PRE-03;ADH-02;MU-01;ML-01;OP-D02;OP-A01;CYC-009;89,5;121,8;88,5;67,3;0,989;33,4;2,15;0,5;0,33;6,49;0,62;0,59;20;60;0,3;OUI;PERCAGE;1;NON CONFORME;Critères hors limite : PERCAGE
DAI-0042;42;INITIAL;15/02/2026;UP-0042;LO-0042;PRE-03;ADH-02;MU-02;ML-02;OP-D03;OP-A02;CYC-009;96,2;123,3;98,9;58,9;1,028;30,9;2,03;0,34;0,21;6,53;0,82;0,39;20;60;0,27;OUI;AUCUN;0;CONFORME;
DAI-0043;43;INITIAL;16/02/2026;UP-0043;LO-0043;PRE-03;ADH-02;MU-01;ML-01;OP-D01;OP-A01;CYC-009;88,2;123,6;87,8;54,3;0,966;28,4;2,02;0,41;0,2;6,53;0,6;0,21;20;60;0,48;OUI;AUCUN;0;CONFORME;
DAI-0044;44;INITIAL;17/02/2026;UP-0044;LO-0044;PRE-03;ADH-02;MU-02;ML-02;OP-D02;OP-A02;CYC-009;74,7;118,5;90,7;70;1,008;31,8;2,05;0,36;0,3;6,43;0,87;0,17;20;60;0,27;OUI;AUCUN;0;CONFORME;
DAI-0045;45;INITIAL;18/02/2026;UP-0045;LO-0045;PRE-03;ADH-02;MU-01;ML-01;OP-D03;OP-A01;CYC-009;95,7;119,9;95,3;58,7;1,025;36,2;1,91;0,41;0,25;6,55;0,47;0,06;20;60;0,42;OUI;AUCUN;0;CONFORME;
DAI-0046;46;INITIAL;19/02/2026;UP-0046;LO-0046;PRE-03;ADH-02;MU-02;ML-02;OP-D01;OP-A02;CYC-010;104,4;119,8;85,1;67,6;1,016;37,3;2,22;0,44;0,36;6,45;0,53;0,34;20;60;0,38;OUI;EPAISSEUR;1;NON CONFORME;Critères hors limite : EPAISSEUR
DAI-0047;47;INITIAL;20/02/2026;UP-0047;LO-0047;PRE-03;ADH-02;MU-01;ML-01;OP-D02;OP-A01;CYC-010;105,1;122,8;94,8;62,3;1,034;38,5;2,05;0,43;0,33;6,6;0,75;0,52;20;60;0,58;NON;COLLAGE;3;NON CONFORME;Critères hors limite : PERCAGE, ETANCHEITE, COLLAGE
DAI-0048;48;INITIAL;21/02/2026;UP-0048;LO-0048;PRE-03;ADH-02;MU-02;ML-02;OP-D03;OP-A02;CYC-010;90;121,7;85;62,5;1,009;37,2;2,11;0,37;0,38;6,53;0,5;0,34;20;60;0,36;OUI;AUCUN;0;CONFORME;
DAI-0049;49;INITIAL;22/02/2026;UP-0049;LO-0049;PRE-03;ADH-02;MU-01;ML-01;OP-D01;OP-A01;CYC-010;82,7;119,5;92,5;59,6;1,003;29,3;2,12;0,23;0,31;6,55;0,84;0,07;20;60;0,39;NON;COLLAGE;1;NON CONFORME;Critères hors limite : COLLAGE
DAI-0050;50;INITIAL;23/02/2026;UP-0050;LO-0050;PRE-03;ADH-02;MU-02;ML-02;OP-D02;OP-A02;CYC-010;90,7;121,9;88,6;64,2;1,012;29,7;2,06;0,42;0,24;6,42;0,7;0,3;20;60;0,38;OUI;AUCUN;0;CONFORME;
DAI-0051;51;AMELIORE;24/02/2026;UP-0051;LO-0051;PRE-03;ADH-03;MU-01;ML-01;OP-D03;OP-A01;CYC-011;71,3;120,7;89,3;54,4;0,985;25,6;1,99;0,26;0,16;6,49;0,31;0,23;20;60;0,1;OUI;AUCUN;0;CONFORME;
DAI-0052;52;AMELIORE;25/02/2026;UP-0052;LO-0052;PRE-03;ADH-03;MU-02;ML-02;OP-D01;OP-A02;CYC-011;73,1;120,4;90,8;56,2;1,006;25,9;2,03;0,24;0,18;6,48;0,4;0,21;20;60;0,2;OUI;AUCUN;0;CONFORME;
DAI-0053;53;AMELIORE;26/02/2026;UP-0053;LO-0053;PRE-03;ADH-03;MU-01;ML-01;OP-D02;OP-A01;CYC-011;78,1;120,9;89,6;51,9;1,008;23,6;2,03;0,21;0,16;6,49;0,45;0,23;20;60;0,19;OUI;AUCUN;0;CONFORME;
DAI-0054;54;AMELIORE;27/02/2026;UP-0054;LO-0054;PRE-03;ADH-03;MU-02;ML-02;OP-D03;OP-A02;CYC-011;65,8;121;90;55,8;1,006;21,9;1,97;0,18;0,2;6,51;0,42;0,26;20;60;0,11;OUI;AUCUN;0;CONFORME;
DAI-0055;55;AMELIORE;28/02/2026;UP-0055;LO-0055;PRE-03;ADH-03;MU-01;ML-01;OP-D01;OP-A01;CYC-011;65,3;121;90,5;57,5;0,991;23,2;2;0,25;0,15;6,45;0,4;0,26;20;60;0,15;OUI;AUCUN;0;CONFORME;
DAI-0056;56;AMELIORE;01/03/2026;UP-0056;LO-0056;PRE-03;ADH-03;MU-02;ML-02;OP-D02;OP-A02;CYC-012;79,5;120,8;90,4;50;0,995;26,8;2,04;0,25;0,21;6,5;0,47;0,26;20;60;0,18;OUI;AUCUN;0;CONFORME;
DAI-0057;57;AMELIORE;02/03/2026;UP-0057;LO-0057;PRE-03;ADH-03;MU-01;ML-01;OP-D03;OP-A01;CYC-012;75,8;120,7;89,4;55,8;0,991;23,1;1,91;0,23;0,15;6,51;0,42;0,19;20;60;0,22;OUI;AUCUN;0;CONFORME;
